period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
2024,VA,Virginia,EU,Electric Utilities,ALL,All,21256.2,megawatts
2024,VA,Virginia,EU,Electric Utilities,BAT,Battery,60,megawatts
2024,VA,Virginia,EU,Electric Utilities,COL,Coal,1487.1,megawatts
2024,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3253.1,megawatts
2024,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,821.6,megawatts
2024,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,9963.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6132.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3370,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGIC,Natural Gas - IC,1,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2024,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2024,VA,Virginia,EU,Electric Utilities,PET,Petroleum,363.6,megawatts
2024,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,260.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,103.2,megawatts
2024,VA,Virginia,EU,Electric Utilities,SOL,Solar,1574.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,1574.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,WND,Wind,12,megawatts
2024,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,ALL,All,7890.3,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,BAT,Battery,10.5,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,COL,Coal,43,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,45,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3749.5,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2777.7,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,842,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGIC,Natural Gas - IC,2,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,127.8,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,223.6,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,378,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,347,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,31,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,3104,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,3104,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,336.7,megawatts
2024,VA,Virginia,TOT,All sectors,ALL,All,29146.5,megawatts
2024,VA,Virginia,TOT,All sectors,BAT,Battery,70.5,megawatts
2024,VA,Virginia,TOT,All sectors,COL,Coal,1530.1,megawatts
2024,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3253.1,megawatts
2024,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866.6,megawatts
2024,VA,Virginia,TOT,All sectors,NG,Natural Gas,13712.9,megawatts
2024,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8910.1,megawatts
2024,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4212,megawatts
2024,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,3,megawatts
2024,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,587.8,megawatts
2024,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2024,VA,Virginia,TOT,All sectors,OBM,Other Biomass,223.6,megawatts
2024,VA,Virginia,TOT,All sectors,PET,Petroleum,741.6,megawatts
2024,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,607.4,megawatts
2024,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,134.2,megawatts
2024,VA,Virginia,TOT,All sectors,SOL,Solar,4678.4,megawatts
2024,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,4678.4,megawatts
2024,VA,Virginia,TOT,All sectors,WND,Wind,12,megawatts
2024,VA,Virginia,TOT,All sectors,WOO,Wood,489.7,megawatts
2023,VA,Virginia,EU,Electric Utilities,ALL,All,21020.3,megawatts
2023,VA,Virginia,EU,Electric Utilities,BAT,Battery,60,megawatts
2023,VA,Virginia,EU,Electric Utilities,COL,Coal,1487.1,megawatts
2023,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3253.1,megawatts
2023,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,821.6,megawatts
2023,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,9955.3,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6128.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3365.9,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGIC,Natural Gas - IC,1,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2023,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2023,VA,Virginia,EU,Electric Utilities,PET,Petroleum,364.8,megawatts
2023,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,260.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,104.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,SOL,Solar,1345.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,1345.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,WND,Wind,12,megawatts
2023,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,ALL,All,7197.9,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,BAT,Battery,10.5,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,COL,Coal,43,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,45,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3771.2,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2770.4,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,880,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,120.8,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,298.9,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,372.4,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,343.8,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,28.6,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,2313.2,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,2313.2,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,343.7,megawatts
2023,VA,Virginia,TOT,All sectors,ALL,All,28218.2,megawatts
2023,VA,Virginia,TOT,All sectors,BAT,Battery,70.5,megawatts
2023,VA,Virginia,TOT,All sectors,COL,Coal,1530.1,megawatts
2023,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3253.1,megawatts
2023,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866.6,megawatts
2023,VA,Virginia,TOT,All sectors,NG,Natural Gas,13726.5,megawatts
2023,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8898.8,megawatts
2023,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4245.9,megawatts
2023,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1,megawatts
2023,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,580.8,megawatts
2023,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2023,VA,Virginia,TOT,All sectors,OBM,Other Biomass,298.9,megawatts
2023,VA,Virginia,TOT,All sectors,PET,Petroleum,737.2,megawatts
2023,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,604.2,megawatts
2023,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,133,megawatts
